percorso,estensione,git_blob_sha,esistenza_main,dimensione_dedotta,classe,rischio_modifica,azione_consigliata
assets/img/cerchi/cerchi-inchiostro-cover-madre-1600x900.jpg,jpg,0d97d29d1f8452303cdfa0bfcc70ca1aac0923e2,verificato,1600x900 da nome/HTML,Cerchi / cover madre,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-platone-idee-verita-potere-1600x900.jpg,jpg,d1ad81c99f0135195a346698428944958a51e22c,verificato,1600x900 da nome/HTML,Cerchi / cover guida 01 legacy,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-dante-esilio-lingua-visione-mondo-1600x900.jpg,jpg,5d5176bd355ee0d5844dec05154d140ca0fa28be,verificato,1600x900 da nome/HTML,Cerchi / cover guida 02 legacy,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-machiavelli-potere-stato-verita-effettuale-1600x900.jpg,jpg,c6d574795b9bc54d63af6938bde6029cc8291141,verificato,1600x900 da nome/HTML,Cerchi / cover guida 03 legacy,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-marx-capitale-lavoro-alienazione-1600x900.webp,webp,720863b0d4fc40cb8d019168008e3fabe3003950,verificato,1600x900 da nome/HTML,Cerchi / cover guida 04,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-nietzsche-nichilismo-valori-morte-dio-1600x900.webp,webp,56e0dfa72f33193bba0e33c5652efeed5f88641f,verificato,1600x900 da nome/HTML,Cerchi / cover guida 05,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-06-giacomo-leopardi-desiderio-infinito-modernita.webp,webp,c11edb1def7b37819acbc8d530e58c2e1c1c1fdc,verificato,1600x900 da HTML,Cerchi / cover guida 06,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-07-seneca-dominio-tempo-morte-1600x900.webp,webp,f3ca13f76bb88e318016568d3b0a8d453cc059af,verificato,1600x900 da nome/HTML,Cerchi / cover guida 07,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-08-aristotele-forma-fine-realta-1600x900.webp,webp,2c1309148e920d948dd01e04b3ce7c072cb7c63c,verificato,1600x900 da nome/HTML,Cerchi / cover guida 08,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-09-max-weber-razionalizzazione-potere-disincanto-1600x900.webp,webp,0dcb766ac958d1bc0019c2cfce633fe033d44ee8,verificato,1600x900 da nome/HTML,Cerchi / cover guida 09,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-10-sigmund-freud-inconscio-desiderio-civilta-1600x900.webp,webp,f124631dfff177ab9b5298f434c28e5d3fbb1be7,verificato,1600x900 da nome/HTML,Cerchi / cover guida 10,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-11-antonio-gramsci-egemonia-cultura-senso-comune-1600x900.webp,webp,915e2035adb7e2b41c514709997b0a9fac6631a4,verificato,1600x900 da nome/HTML,Cerchi / cover guida 11,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-12-thomas-hobbes-paura-sovranita-ordine-politico-1600x900.webp,webp,33926ffceb0ada16ffd4afa610a8e45d2c65065a,verificato,1600x900 da nome/HTML,Cerchi / cover guida 12,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-13-averroe-ragione-interpretazione-legge-1600x900.webp,webp,1ee3449e6980729b18986243720e1e38a9f14c50,verificato,1600x900 da nome/HTML,Cerchi / cover guida 13,PROTETTO,nessuna modifica; mantenere stabile
