Percorso,Estensione,Dimensione,Dimensioni immagine,Stato uso,Dove è referenziato,Tipo presunto,Rischio modifica,Note
assets/img/cerchi/cerchi-inchiostro-cover-madre-1600x900.jpg,jpg,non rilevata,1600x900 da nome/HTML,USATO,"cerchi/index.html: og:image, twitter:image, immagine hero",immagine Open Graph / cover madre Cerchi / legacy,"PROTETTO — non rinominare, non spostare, non rimuovere",JPG legacy ancora attivo e usato come preview social del hub Cerchi.
assets/img/cerchi/cerchi-platone-idee-verita-potere-1600x900.jpg,jpg,non rilevata,1600x900 da nome/HTML,USATO,cerchi/index.html card Guida 01; probabile guida Platone e preview,cover guida Cerchi / legacy,"PROTETTO — non rinominare, non spostare, non rimuovere","Nome pre-standard, ma pubblicato e referenziato."
assets/img/cerchi/cerchi-dante-esilio-lingua-visione-mondo-1600x900.jpg,jpg,non rilevata,1600x900 da nome/HTML,USATO,cerchi/index.html card Guida 02; probabile guida Dante e preview,cover guida Cerchi / legacy,"PROTETTO — non rinominare, non spostare, non rimuovere","Nome pre-standard, ma pubblicato e referenziato."
assets/img/cerchi/cerchi-machiavelli-potere-stato-verita-effettuale-1600x900.jpg,jpg,non rilevata,1600x900 da nome/HTML,USATO,cerchi/index.html card Guida 03; probabile guida Machiavelli e preview,cover guida Cerchi / legacy,"PROTETTO — non rinominare, non spostare, non rimuovere","Nome pre-standard, ma pubblicato e referenziato."
assets/img/cerchi/cerchi-marx-capitale-lavoro-alienazione-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, cerchi/index.html, guida Marx / preview probabile",cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere","WEBP corretto, ma non segue lo standard `cerchi-guida-NN-...`."
assets/img/cerchi/cerchi-nietzsche-nichilismo-valori-morte-dio-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, cerchi/index.html, guida Nietzsche / preview probabile",cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere","WEBP corretto, ma non segue lo standard `cerchi-guida-NN-...`."
assets/img/cerchi/cerchi-guida-06-giacomo-leopardi-desiderio-infinito-modernita.webp,webp,non rilevata,1600x900 da HTML,USATO,"index.html, cerchi/index.html, guida Leopardi / preview probabile",cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Manca suffisso dimensionale nel filename; non correggere ora.
assets/img/cerchi/cerchi-guida-07-seneca-dominio-tempo-morte-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, cerchi/index.html, guida Seneca / preview probabile",cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Coerente con standard attuale.
assets/img/cerchi/cerchi-guida-08-aristotele-forma-fine-realta-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, cerchi/index.html, guida Aristotele, OG/Twitter/JSON-LD probabili",cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Coerente con standard attuale.
assets/img/cerchi/cerchi-guida-09-max-weber-razionalizzazione-potere-disincanto-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, cerchi/index.html, guida Weber / preview probabile",cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Coerente con standard attuale.
assets/img/cerchi/cerchi-guida-10-sigmund-freud-inconscio-desiderio-civilta-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, cerchi/index.html, guida Freud / preview probabile",cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Coerente con standard attuale.
assets/img/cerchi/cerchi-guida-11-antonio-gramsci-egemonia-cultura-senso-comune-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, cerchi/index.html, guida Gramsci / preview probabile",cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Coerente con standard attuale.
assets/img/cerchi/cerchi-guida-12-thomas-hobbes-paura-sovranita-ordine-politico-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, cerchi/index.html, guida Hobbes / preview probabile",cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Coerente con standard attuale.
assets/img/cerchi/cerchi-guida-13-averroe-ragione-interpretazione-legge-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,cerchi/index.html; guida Averroè / preview probabile,cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Coerente con standard attuale.
assets/img/cerchi/cerchi-guida-14-georg-simmel-denaro-metropoli-individualita-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,cerchi/index.html; guida Simmel / preview probabile,cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Coerente con standard attuale.
